,Pokemon,Annotator,Annotation,baseline_preds,V1_preds,V2_preds,V3_preds,V4_preds,baseline,V1,V2,V3,V4
94,Beldum,Ellison,Bell shaped rock with an eye,"['Lunatone', 'Gigalith', 'Escavalier']","['Golem', 'Sableye', 'Voltorb']","['Golem', 'Dwebble', 'Heatran']","['Golem', 'Dwebble', 'Rhyperior']","['Dwebble', 'Aurorus', 'Cufant']",0,0,0,0,0
95,Cacnea,Ellison,Spiky Living Cactus with a crown,"['Floatzel', 'Beautifly', 'Silcoon']","['Sandslash', 'Bayleef', 'Petilil']","['Sandslash', 'Servine', 'Ferrothorn']","['Oddish', 'Servine', 'Seedot']","['Oddish', 'Cacturne', 'Seedot']",0,0,0,0,0
96,Shiftry,Ellison,Tree ninja with hair,"['Feraligatr', 'Shroomish', 'Mimikyu']","['Scyther', 'Murkrow', 'Slowking']","['Scyther', 'Honchkrow', 'Ariados']","['Scyther', 'Ekans', 'Luxray']","['Scyther', 'Garchomp', 'Machamp']",0,0,0,0,0
97,Bellsprout,Ellison,Living bell flower ,"['Toxtricity Amped Form', 'Archen', 'Pignite']","['Flabébé', 'Floette', 'Lilligant']","['Flabébé', 'Floette', 'Shaymin Land Forme']","['Cutiefly', 'Vileplume', 'Masquerain']","['Blitzle', 'Maractus', 'Landorus Incarnate Forme']",0,0,0,0,0
98,Houndour,Ellison,Dog with metal accessories,"['Ekans', 'Spheal', 'Kyogre']","['Elekid', 'Grumpig', 'Electivire']","['Eelektrik', 'Hakamo-o', 'Klinklang']","['Pyroar', 'Timburr', 'Dedenne']","['Herdier', 'Lillipup', 'Torracat']",0,0,0,0,0
99,Charmeleon,Ellison,fire tailed dragon,"['Swalot', 'Tapu Bulu', 'Weepinbell']","['Charizard', 'Raikou', 'Ho-oh']","['Magmar', 'Polteageist', 'Heatmor']","['Omastar', 'Blastoise', 'Entei']","['Miraidon', 'Baxcalibur', 'Armarouge']",0,0,0,0,0
100,Spheal,Levi,"A small, cute, and round seal pokemon with blue coloring andn some white spots and underbelly. Has pointy teeth.","['Rufflet', 'Entei', 'Bagon']","['Slowpoke', 'Nidoran♂', 'Girafarig']","['Nidoran♀', 'Lickitung', 'Bidoof']","['Bidoof', 'Furret', 'Lopunny']","['Bidoof', 'Bunnelby', 'Raticate']",0,0,0,0,0
101,Mantine,Levi,A manta ray with blue coloring and white underbelly. Has antennae-like looking ears and a dumb smile.,"['Chewtle', 'Beartic', 'Chandelure']","['Magikarp', 'Golduck', 'Fearow']","['Remoraid', 'Kabutops', 'Mantine']","['Mantine', 'Lanturn', 'Krokorok']","['Mantine', 'Dragonite', 'Lapras']",0,0,1,1,1
102,Aerodactyl,Levi,A light-purple pterodactyl with purple wings. Is an angry guy with a pointy tail.,"['Geodude', 'Glastrier', 'Murkrow']","['Aerodactyl', 'Ninetales', 'Omanyte']","['Aerodactyl', 'Ninetales', 'Zapdos']","['Aerodactyl', 'Zapdos', 'Ninetales']","['Aerodactyl', 'Tyrantrum', 'Zapdos']",0,1,1,1,1
103,Omanyte,Levi,A blue guy in a sandy-colored shell with big eyes and many tendrils,"['Tentacool', 'Accelgor', 'Panpour']","['Shellos', 'Gastrodon', 'Poliwag']","['Squirtle', 'Shelgon', 'Shellos']","['Shelgon', 'Omastar', 'Shellder']","['Accelgor', 'Shelgon', 'Chespin']",0,0,0,0,0
104,Tentacool,Levi,An angry blue squid with two cream-colored tentacles and red gemstones on its head,"['Zygarde 50% Forme', 'Zangoose', 'Vullaby']","['Tentacool', 'Kingdra', 'Qwilfish']","['Cradily', 'Tentacool', 'Gorebyss']","['Cradily', 'Gorebyss', 'Phione']","['Cradily', 'Gorebyss', 'Phione']",0,1,1,0,0
105,Lanturn,Levi,"A blue fish with a yellow face. It has two yellow balls that light up on its head, and a yellow-tipped tail","['Ditto', 'Umbreon', 'Greninja']","['Azumarill', 'Marill', 'Huntail']","['Horsea', 'Buizel', 'Mudkip']","['Horsea', 'Buizel', 'Mudkip']","['Stunfisk', 'Mudkip', 'Buizel']",0,0,0,0,0
106,Exeggutor,Levi,"A palm tree looking pokemon with a brown, barky body. It has three distinct, yellow faces with different emotions and green, grassy hair. It has pointy toenail claws","['Combusken', 'Barraskewda', 'Sunkern']","['Persian', 'Sudowoodo', 'Wigglytuff']","['Tyranitar', 'Ursaring', 'Persian']","['Pancham', 'Wishiwashi Solo Form', 'Sudowoodo']","['Sudowoodo', 'Stantler', 'Duraludon']",0,0,0,0,0
107,Kingler,Levi,"A red crab with an intimidating, angry face. It has two huge claws, a lighter underbelly, and looks like he has a red crown on his head","['Cosmoem', 'Torracat', 'Whirlipede']","['Makuhita', 'Caterpie', 'Smeargle']","['Skorupi', 'Carracosta', 'Sliggoo']","['Grubbin', 'Carracosta', 'Crabrawler']","['Grubbin', 'Gible', 'Carracosta']",0,0,0,0,0
108,Silcoon,Levi,"A round, white pokemon with spikes and an angry face","['Seismitoad', 'Amoonguss', 'Carkol']","['Heracross', 'Lickitung', 'Sandslash']","['Buneary', 'Voltorb', 'Golem']","['Electrode', 'Voltorb', 'Regirock']","['Groudon', 'Weezing', 'Arctozolt']",0,0,0,0,0
120,Nidoking,Manny,"Purple dinosaur type, has a solo horn on its nose and looks like it has big blueish ears","['Gulpin', 'Armaldo', 'Oshawott']","['Geodude', 'Cherubi', 'Donphan']","['Nidorino', 'Donphan', 'Rattata']","['Donphan', 'Rhyperior', 'Fraxure']","['Cranidos', 'Druddigon', 'Tyrantrum']",0,0,0,0,0
121,Turtonator,Manny,Orange red yellowish creature with red spiky tail,"['Steenee', 'Zapdos', 'Torracat']","['Azurill', 'Flaaffy', 'Vulpix']","['Arbok', 'Octillery', 'Bellsprout']","['Scrafty', 'Wurmple', 'Makuhita']","['Aron', 'Aggron', 'Incineroar']",0,0,0,0,0
122,Magearna,Manny,"Humanoid like creature in mainly white with yellow accents, appears it’s lower section is very rounded like a dress, with long big white ears and some kind of arm that appears to be a cannon or weapon","['Meltan', 'Leavanny', 'Palkia']","['Azurill', 'Loudred', 'Electivire']","['Regice', 'Copperajah', 'Aurorus']","['Maractus', 'Eternatus', 'Zeraora']","['Eternatus', 'Coalossal', 'Meltan']",0,0,0,0,0
123,Barboach,Manny,"Worm looking fish animal that it gray and blue with long blue antennas on its mouth, also has distinctive black marking on its side","['Iron Bundle', 'Rotom', 'Registeel']","['Masquerain', 'Fearow', 'Huntail']","['Masquerain', 'Chinchou', 'Huntail']","['Dewpider', 'Carnivine', 'Clawitzer']","['Eelektross', 'Swampert', 'Dragalge']",0,0,0,0,0
124,Gible,Manny,"Dark blue like creature with short arms and legs, also has and orange section under its mouth","['Goomy', 'Rhyperior', 'Ekans']","['Golduck', 'Seaking', 'Poliwhirl']","['Poliwag', 'Mudkip', 'Tentacool']","['Swampert', 'Mudkip', 'Bagon']","['Druddigon', 'Victreebel', 'Clobbopus']",0,0,0,0,0
125,Tentacruel,Manny,Purple jellyfish monster with lots of tentacles and red spots on its head,"['Solrock', 'Raikou', 'Chimecho']","['Tentacruel', 'Wailmer', 'Qwilfish']","['Tentacruel', 'Octillery', 'Carnivine']","['Tentacruel', 'Cradily', 'Sliggoo']","['Tentacruel', 'Sliggoo', 'Paras']",0,1,1,1,1
126,Archen,Manny,Yellow bird with blue accents and its beak is red,"['Tapu Lele', 'Archen', 'Joltik']","['Masquerain', 'Spearow', 'Swellow']","['Mandibuzz', 'Talonflame', 'Pidgeot']","['Talonflame', 'Corviknight', 'Rowlet']","['Swanna', 'Corviknight', 'Pidgeot']",1,0,0,0,0
127,Nidorina,Manny,Light Blue reptile like creature with spikes on its back and dark blue spots,"['Skorupi', 'Beautifly', 'Inteleon']","['Nidoqueen', 'Paras', 'Wailmer']","['Wooper', 'Sandslash', 'Nidoqueen']","['Wooper', 'Krabby', 'Treecko']","['Gastrodon', 'Raticate', 'Diglett']",0,0,0,0,0
128,Dugtrio,Manny,Small long rounded ground creature that is brown with a pink nose and is in groups,"['Orbeetle', 'Turtwig', 'Spinarak']","['Nidorina', 'Nidoran♀', 'Nidoran♂']","['Sealeo', 'Surskit', 'Swinub']","['Swirlix', 'Sealeo', 'Snorlax']","['Sealeo', 'Audino', 'Spoink']",0,0,0,0,0
129,Crobat,Manny,Purple flying bat creature with blue wings,"['Zarude', 'Ferroseed', 'Rhyperior']","['Ho-oh', 'Skarmory', 'Charmander']","['Zubat', 'Vibrava', 'Dustox']","['Zubat', 'Vibrava', 'Garchomp']","['Zubat', 'Krokorok', 'Rayquaza']",0,0,0,0,0
130,Persian,Bruce,Mouse eared cat thing with semi-aquatic whiskers,"['Exploud', 'Munchlax', 'Frosmoth']","['Raticate', 'Barboach', 'Azumarill']","['Barboach', 'Poliwag', 'Raticate']","['Poliwag', 'Barboach', 'Raticate']","['Poliwag', 'Golduck', 'Marshtomp']",0,0,0,0,0
134,Rhyhorn,Bruce,rock armadillo,"['Cetitan', 'Unfezant', 'Meowstic Male']","['Golbat', 'Slowbro', 'Snover']","['Hippopotas', 'Skorupi', 'Weavile']","['Hippopotas', 'Sandile', 'Shelgon']","['Sandile', 'Sandshrew', 'Sandaconda']",0,0,0,0,0
138,Victreebel,Bruce,large leafed pitcher plant,"['Glimmora', 'Spinda', 'Staryu']","['Roselia', 'Petilil', 'Lotad']","[""Farfetch'd"", 'Victreebel', 'Paras']","['Bayleef', 'Qwilfish', 'Amoonguss']","[""Farfetch'd"", 'Mareanie', 'Cramorant']",0,0,1,0,0
139,Oricorio Baile Style,Bruce,Spanish dancing bird,"['Arctozolt', 'Jangmo-o', 'Gloom']","['Misdreavus', 'Politoed', 'Oricorio Baile Style']","['Oricorio Baile Style', 'Squawkabilly Green Plumage', 'Politoed']","['Oricorio Baile Style', 'Primarina', 'Politoed']","['Primarina', 'Politoed', 'Oricorio Baile Style']",0,1,1,1,1
190,Binacle,Sierra,a two-headed creature with a brown face and an orange and white neck. Its body is simply a rock and has no appendages. ,"['Electrode', 'Breloom', 'Golisopod']","['Snubbull', 'Aipom', 'Furret']","['Mawile', 'Hydreigon', 'Pancham']","['Eternatus', 'Reuniclus', 'Regirock']","['Dottler', 'Binacle', 'Eternatus']",0,0,0,0,1
191,Skuntank,Sierra,looks similar to a skunk. It is purple and crème with an orange nose!,"['Fomantis', 'Iron Treads', 'Dragapult']","['Dratini', 'Magikarp', 'Feebas']","['Parasect', 'Croagunk', 'Weepinbell']","['Croagunk', 'Trubbish', 'Parasect']","['Yungoos', 'Rattata', 'Slaking']",0,0,0,0,0
192,Honchkrow,Sierra,"a navy, white and red bird. It’s smoking a cigar and has a hat made into its head lol ","['Squirtle', 'Kirlia', 'Wigglytuff']","['Ho-oh', 'Skarmory', 'Illumise']","['Lampent', 'Tapu Koko', 'Sewaddle']","['Honchkrow', 'Lampent', 'Greavard']","['Honchkrow', 'Greavard', 'Houndstone']",0,0,0,1,1
220,Lotad,David,Rotund blue platypus with a broad green hat shading its eyes,"['Bombirdier', 'Kirlia', 'Parasect']","['Crobat', 'Sneasel', 'Venomoth']","['Castform', 'Dragonair', 'Solrock']","['Meowstic Male', 'Gigalith', 'Unown']","['Dewott', 'Oshawott', 'Mawile']",0,0,0,0,0
221,Swalot,David,Ghost-shaped Pokémon with a purple body patterned with black diamonds and stringy yellow whiskers,"['Dewpider', 'Onix', 'Tranquill']","['Gastrodon', 'Barboach', 'Sandshrew']","['Roserade', 'Swalot', 'Feraligatr']","['Stunfisk', 'Woobat', 'Heatran']","['Glalie', 'Noibat', 'Jolteon']",0,0,1,0,0
222,Herdier,David,Canine Pokémon with shaggy light hair on its face and a dusky covering on its back and tail,"['Hitmonlee', 'Persian', 'Blipbug']","['Piloswine', 'Vulpix', 'Ponyta']","['Piloswine', 'Herdier', 'Lopunny']","['Elekid', 'Chimchar', 'Tauros']","['Braviary', 'Manectric', 'Keldeo Ordinary Form']",0,0,1,0,0
223,Espeon,David,"Feline Pokémon with a sleek, pink body, two tails, wide ears and a gem between its eyes","['Wimpod', 'Blipbug', 'Tarountula']","['Ponyta', 'Azurill', 'Slowpoke']","['Ponyta', 'Nidoran♂', 'Lopunny']","['Persian', 'Lopunny', 'Ponyta']","['Minccino', 'Growlithe', 'Wartortle']",0,0,0,0,0
224,Horsea,David,A blue sea horse with large eyes and wings,"['Hitmonchan', 'Garganacl', 'Pawmot']","['Wailord', 'Arcanine', 'Ponyta']","['Mantine', 'Dragonite', 'Phione']","['Horsea', 'Lugia', 'Phione']","['Horsea', 'Lugia', 'Dragonite']",0,0,0,1,1
225,Dragonite,David,A kindly orange dragon with teal wings and light antennae ,"['Solgaleo', 'Lurantis', 'Medicham']","['Pidgeot', 'Ho-oh', 'Skarmory']","['Masquerain', 'Yanma', 'Vibrava']","['Fearow', 'Yanma', 'Venomoth']","['Butterfree', 'Venomoth', 'Mothim']",0,0,0,0,0
226,Persian,David,"A feline Pokémon with a muscular frame, curled tail, and a gem between its eyes","['Ekans', 'Burmy Plant Cloak', 'Celesteela']","['Rapidash', 'Ponyta', 'Lopunny']","['Sentret', 'Keldeo Ordinary Form', 'Rapidash']","['Umbreon', 'Scyther', 'Starmie']","['Scyther', 'Starmie', 'Umbreon']",0,0,0,0,0
227,Stunfisk,David,"A flat, piscine Pokémon with a short, broad tale and a beak","['Spectrier', 'Wailord', 'Flittle']","['Aipom', 'Girafarig', 'Furret']","['Pelipper', 'Fearow', 'Empoleon']","['Empoleon', 'Pelipper', 'Taillow']","['Pelipper', 'Wingull', 'Fearow']",0,0,0,0,0
228,Pinsir,David,"A stout, rocky Pokémon with a vertically oriented mouth and large boney horns and claws","['Joltik', 'Cloyster', 'Kirlia']","['Pinsir', 'Nidorino', 'Heracross']","['Mawile', 'Scolipede', 'Donphan']","['Donphan', 'Carracosta', 'Scolipede']","['Golem', 'Pinsir', 'Hippowdon']",0,1,0,0,1
229,Electabuzz,David,A slightly plump Pokémon with distinct black lightning shaped markings on a yellow body with foot talons and humanoid hands,"['Munna', 'Cacturne', 'Keldeo Ordinary Form']","['Arbok', 'Monferno', 'Oricorio Baile Style']","['Blaziken', 'Pignite', 'Heatmor']","['Zebstrika', 'Zeraora', 'Pignite']","['Zebstrika', 'Zeraora', 'Togedemaru']",0,0,0,0,0
